0,1,30647252E-09
180,7789224,0,13488878
180,9890416,0,102457472
181,1988992,0,0951615656
181,4088845,0,108913308
181,6188725,0,0953723233
181,8288598,0,0996315628
182,0389071,0,0976046385
182,2488333,0,0974581
182,4588214,0,0974869709
182,6788073,0,0975541143
182,8889279,0,0976568652
183,0889523,0,0976856992
183,2987695,0,0987547749
183,5087558,0,100064035
183,7187464,0,097878209
183,9287318,0,0975988273
184,1388031,0,0977092401
184,3487059,0,100860687
184,5586946,0,100718664
184,7686798,0,0983154186
184,9786706,0,097613892
185,1887013,0,0975304624
185,3986434,0,0975497837
185,6086278,0,0988655949
185,8186172,0,110848734
186,0286023,0,106489223
186,2387777,0,0982886944
186,4486729,0,100591447
186,6685639,0,0977150883
186,8886059,0,097603269
187,0886723,0,0978149891
187,28859,0,0996936353
187,4985121,0,10137422
187,7184984,0,0996143143
187,9284881,0,0976687097
188,1385161,0,0977772718
188,3484609,0,097893829
188,5584473,0,0979639705
188,7684363,0,0978584065
188,9784213,0,0978565929
189,1885392,0,0988302465
189,3983954,0,100237741
189,6083843,0,0982382443
189,8183699,0,09792307
190,0283586,0,0978423795
190,2383862,0,0977745698
190,4483315,0,0986311481
190,6583186,0,101852922
190,878259,0,0978363092
191,0883228,0,0981016256
191,2982809,0,0981700645
191,4982676,0,0979153711
191,7182541,0,0977465502
191,9282417,0,0979409848
192,1383148,0,0982101507
192,3482132,0,100099198
192,5582022,0,0992295907
192,7681891,0,0977848227
192,9781768,0,0978934588
193,1882213,0,0980442539
193,398152,0,100376581
193,6081384,0,102076079
193,8281254,0,0998557567
194,0381837,0,0980244514
194,2480993,0,097999578
194,4580859,0,0981551849
194,668021,0,0982281765
194,8780606,0,098126388
195,0980464,0,0980967398
195,3080344,0,0987907895
195,5080219,0,100485809
195,7180086,0,0983335924
195,9279973,0,0981795031
196,1380587,0,10950642
196,3479707,0,123579111
196,557957,0,123235066
196,7679442,0,103810852
196,9779311,0,0990193881
197,1880146,0,0981802064
197,3979063,0,0981122116
197,6078927,0,0982301013
197,8178795,0,0980991087
198,0278676,0,0980653519
198,2379307,0,0986087916
198,4478412,0,100707486
198,6578082,0,0996907853
198,8678157,0,0980167895
199,0778037,0,0979552352
199,2878655,0,09823991
199,5077763,0,100861242
199,7077642,0,10133195
199,9177521,0,0984815375
200,1277383,0,0981024399
200,3378006,0,0988948729
200,5477129,0,099386345
200,7576984,0,0984489281
200,9676869,0,0982671523
201,1877473,0,0989632748
201,3976606,0,10071426
201,6076479,0,0991316886
201,8276349,0,0982483122
202,0377752,0,0981179118
202,2476084,0,098794787
202,4575959,0,10107585
202,6675809,0,101569987
202,8775697,0,0995583491
203,0876495,0,0983333333
203,2975439,0,0983946286
203,5175304,0,0991369076
203,7275179,0,0984783542
203,9275056,0,0980487696
204,1375678,0,0982700024
204,34748,0,100326908
204,5574677,0,0997450108
204,7674543,0,0982961713
204,9774415,0,0981732848
205,1875615,0,0981759498
205,3974157,0,0998809633
205,6074034,0,101700239
205,8273891,0,100370177
206,0374232,0,0983194161
206,2473633,0,0982888055
206,4573506,0,0982058571
206,6673383,0,0982061902
206,8773263,0,102999172
207,0873125,0,113090191
207,2974639,0,102232278
207,5072866,0,0986551332
207,7272732,0,0981864247
207,9272607,0,0980971469
208,1372477,0,0982613411
208,3473149,0,0991835452
208,5572204,0,102637804
208,7672097,0,099808934
208,9771969,0,0983965533
209,1871836,0,0984411552
209,3973126,0,098443228
209,6071578,0,0982708537
209,8171438,0,0982337286
210,0271326,0,0983495085
210,2371191,0,0986763792
210,4472851,0,100392793
210,657094,0,0999416292
210,8670799,0,0983387004
211,0770677,0,0992069011
211,2970971,0,110822824
211,5070411,0,12215211
211,7370271,0,119333826
211,9470804,0,100862316
212,1370027,0,098174062
212,347055,0,0980527671
212,5569766,0,0982600456
212,7669642,0,09850419
212,9769493,0,0986054234
213,1869383,0,0986636834
213,3970148,0,0992718977
213,6069127,0,100855616
213,8168997,0,0988134421
214,0268872,0,0983465473
214,2368718,0,0983734935
214,4469397,0,0987411167
214,6568484,0,101296823
214,8668362,0,101787703
215,0768227,0,0993213484
215,2968944,0,0985547882
215,5067972,0,0985624131
215,7167838,0,0983847458
215,9367699,0,0983077567
216,1367576,0,100547438
216,3468551,0,110158903
216,5567322,0,111097135
216,7667192,0,09916452
216,9767068,0,098414394
217,1866933,0,0983818587
217,3967594,0,100618319
217,6066672,0,101609259
217,8166556,0,0982929511
218,0266416,0,0980838219
218,23663,0,0983268189
218,4468089,0,098551679
218,6566036,0,0984261645
218,8665913,0,0981761718
219,0765778,0,0980727177
219,2966503,0,0991927987
219,5065522,0,100919021
219,7165383,0,0988859896
219,9265259,0,0984180584
220,1465515,0,0987589575
220,3466386,0,101639462
220,556487,0,101857067
220,7664741,0,0993371534
220,9764608,0,098446078
221,1864486,0,0983221551
221,4064351,0,0987499631
221,616423,0,102454326
221,8264089,0,101068595
