Episode: 432; Score: [-0.00354147]; Action: [1.]
Episode: 433; Score: [-3.3942661]; Action: [1.]
Episode: 434; Score: [-3.2407222]; Action: [1.]
Episode: 435; Score: [-0.03652978]; Action: [1.]
Episode: 436; Score: [-2.2289732]; Action: [0.44711745]
Episode: 437; Score: [-0.26361215]; Action: [1.]
Episode: 438; Score: [-6.1453733]; Action: [0.28207123]
Episode: 439; Score: [-2.237651]; Action: [0.28319415]
Episode: 440; Score: [-3.3364167]; Action: [1.]
Episode: 441; Score: [-4.0811167]; Action: [0.918883]
Episode: 442; Score: [-2.5297718]; Action: [0.35367134]
Episode: 443; Score: [-3.0728936]; Action: [1.]
Episode: 444; Score: [-3.025543]; Action: [1.]
Episode: 445; Score: [-1.8272293]; Action: [0.29421827]
Episode: 446; Score: [-2.3883724]; Action: [0.42017558]
Episode: 447; Score: [-4.0523195]; Action: [0.99905723]
Episode: 448; Score: [-0.15237558]; Action: [1.]
Episode: 449; Score: [-0.24718153]; Action: [0.84149635]
Episode: 450; Score: [-2.386558]; Action: [0.42302084]
Episode: 451; Score: [-3.0095196]; Action: [1.]
Episode: 452; Score: [-0.13867724]; Action: [1.]
Episode: 453; Score: [-3.2282033]; Action: [1.]
Episode: 454; Score: [-0.2061876]; Action: [1.]
Episode: 455; Score: [-3.1459537]; Action: [1.]
Episode: 456; Score: [-4.190856]; Action: [0.87508076]
Episode: 457; Score: [-3.4163768]; Action: [0.9728789]
Episode: 458; Score: [-3.204409]; Action: [1.]
Episode: 459; Score: [-2.2010527]; Action: [0.3651532]
Episode: 460; Score: [-2.1390448]; Action: [0.4503114]
Episode: 461; Score: [-4.2625437]; Action: [1.]
Episode: 462; Score: [-4.2659755]; Action: [1.]
Episode: 463; Score: [-2.5114744]; Action: [0.50508285]
Episode: 464; Score: [-0.35074353]; Action: [0.97736466]
Episode: 465; Score: [-3.1042023]; Action: [0.98927516]
Episode: 466; Score: [-0.3385443]; Action: [0.8491392]
Episode: 467; Score: [-3.1464865]; Action: [0.91560346]
Episode: 468; Score: [-0.00702047]; Action: [1.]
Episode: 469; Score: [-3.23827]; Action: [0.8244927]
Episode: 470; Score: [-2.1765745]; Action: [0.3748877]
Episode: 471; Score: [-1.9145463]; Action: [0.37478545]
Episode: 472; Score: [-0.24515033]; Action: [0.9913555]
Episode: 473; Score: [-0.05662853]; Action: [1.]
