Wall time,Step,Value
1750579204.8398154,8564,-5.777817726135254
1750579206.2795956,8619,-6.855278968811035
1750579206.5151396,8628,-5.991321563720703
1750579207.3801768,8660,-6.533396244049072
1750579207.487889,8664,-5.118102073669434
1750579208.3317733,8695,-6.309514045715332
1750579208.45939,8701,-5.911282539367676
1750579208.9154668,8719,-7.184165954589844
1750579209.080911,8725,-8.237089157104492
1750579209.8453636,8753,-8.396331787109375
1750579209.899822,8755,-6.322665214538574
1750579210.4638116,8777,-6.658502101898193
1750579210.5128484,8779,-6.307032108306885
1750579211.7318206,8824,-6.871529579162598
1750579211.9830167,8834,-6.534819602966309
1750579212.8402464,8866,-7.531418800354004
1750579212.9691758,8871,-5.917172431945801
1750579213.144773,8878,-6.83758544921875
1750579214.2608294,8918,-6.070733547210693
1750579214.356163,8922,-5.1660590171813965
1750579216.0770822,8986,-5.954949855804443
1750579216.6353984,9007,-6.72353982925415
1750579217.2691479,9034,-5.055890083312988
1750579217.998331,9059,-6.882783889770508
1750579219.4969149,9118,-5.288301944732666
1750579219.6365886,9122,-5.828662872314453
1750579220.5574815,9153,-5.201119899749756
1750579222.0133896,9213,-5.01210880279541
1750579223.0896456,9253,-6.395735263824463
1750579224.10639,9292,-5.465379238128662
1750579224.4347155,9304,-5.612734317779541
1750579224.4820478,9306,-7.0692291259765625
1750579224.6390655,9313,-7.065614223480225
1750579225.0374365,9328,-5.659708499908447
1750579225.4773972,9346,-6.369870185852051
1750579225.8155038,9360,-6.836749076843262
1750579226.1621816,9373,-5.991045951843262
1750579226.3070774,9378,-6.070370197296143
1750579226.5679069,9388,-6.641801357269287
1750579228.642943,9457,-6.557655334472656
1750579230.9930162,9539,-6.674900531768799
1750579231.20121,9548,-5.4202799797058105
1750579231.433348,9557,-6.637505054473877
1750579231.7279172,9567,-6.078469753265381
1750579232.5317793,9594,-5.3192548751831055
1750579234.7017188,9672,-6.517263412475586
1750579234.7267635,9673,-5.7926344871521
1750579235.239051,9693,-6.703071594238281
1750579235.579707,9705,-5.94876766204834
1750579235.795673,9713,-6.35190486907959
1750579237.0720599,9754,-6.887382984161377
1750579237.1004515,9755,-6.688207626342773
1750579237.548977,9773,-6.165957927703857
1750579238.725901,9814,-5.636392593383789
1750579239.0417295,9825,-5.797961235046387
1750579239.3682826,9838,-6.280547618865967
1750579239.7494762,9851,-5.695455551147461
1750579240.2121255,9868,-5.556868553161621
1750579240.960762,9895,-6.043954849243164
1750579241.2377958,9905,-6.871342182159424
1750579241.6427133,9918,-6.30369234085083
1750579242.4705904,9949,-6.786149501800537
1750579242.4980328,9950,-5.507330417633057
1750579242.5229778,9951,-6.317934989929199
1750579242.8148777,9961,-5.803876876831055
1750579243.1730697,9974,-5.8182806968688965
1750579243.329619,9980,-6.585015296936035
1750579243.6543322,9994,-5.573525905609131
1750579245.5329237,10064,-6.281722068786621
1750579246.2758954,10091,-6.504683017730713
1750579247.0904253,10122,-6.594383239746094
1750579247.5774088,10139,-6.136404991149902
1750579248.9651222,10192,-5.318405628204346
1750579249.3631723,10209,-6.23465633392334
1750579249.5077012,10216,-5.871685981750488
1750579250.8556302,10270,-6.545742988586426
1750579251.149442,10281,-5.516049861907959
1750579252.8790495,10343,-6.62324333190918
1750579252.9541883,10346,-5.841436386108398
1750579252.975161,10347,-6.5111083984375
1750579254.2740755,10396,-5.1497602462768555
1750579255.7327201,10446,-5.618686199188232
1750579255.8968387,10452,-6.621915340423584
1750579255.9277353,10453,-5.606501579284668
1750579256.0885258,10459,-5.550144672393799
1750579257.2961767,10502,-5.5619401931762695
1750579257.7233503,10519,-5.76655387878418
1750579258.8770018,10562,-6.066941738128662
1750579259.1966307,10574,-6.138470649719238
1750579259.8260577,10597,-5.601931571960449
1750579260.304118,10615,-6.142457485198975
1750579260.70933,10634,-6.151126384735107
1750579260.966919,10644,-5.934964656829834
1750579261.024625,10646,-5.419015884399414
1750579262.468891,10708,-7.262068271636963
1750579262.7087142,10718,-5.534902572631836
1750579262.8935883,10725,-6.100995063781738
1750579263.4317956,10746,-6.050658226013184
1750579264.142207,10772,-6.1837663650512695
1750579266.0840814,10843,-5.777580738067627
1750579267.54895,10898,-6.829773426055908
1750579269.4925506,10977,-5.4789628982543945
1750579270.7569275,11023,-6.001107692718506
1750579270.782942,11024,-6.386118412017822
1750579270.8998394,11029,-5.763214588165283
1750579271.100645,11037,-5.793039321899414
1750579271.600412,11055,-6.813145637512207
1750579272.6329372,11095,-5.325955867767334
1750579273.2747173,11119,-6.682947158813477
1750579273.4396327,11125,-6.989299774169922
1750579273.4582698,11126,-5.8892974853515625
1750579274.3560753,11160,-5.714019775390625
1750579274.6190293,11171,-6.648151397705078
1750579275.5842693,11209,-5.224924564361572
1750579275.6790621,11213,-6.3793463706970215
1750579275.8372037,11219,-6.525902271270752
1750579276.0211623,11227,-6.2193121910095215
1750579278.8740108,11331,-7.709090232849121
1750579278.8981895,11332,-5.597524166107178
1750579280.5696957,11395,-7.292330741882324
1750579280.859864,11405,-5.962812423706055
1750579281.005123,11410,-5.720448970794678
1750579281.8329957,11444,-5.430609703063965
1750579281.964371,11449,-6.582714080810547
1750579282.3158717,11462,-6.528120994567871
1750579282.367466,11464,-5.590273857116699
1750579283.9062905,11527,-7.038434028625488
1750579285.0148413,11571,-5.840066432952881
1750579285.211338,11579,-5.958115100860596
1750579286.0561588,11612,-6.868159294128418
1750579288.397793,11697,-6.683788299560547
1750579289.3909466,11737,-6.574892044067383
1750579289.9268146,11757,-5.535948753356934
1750579290.1928895,11766,-6.408061504364014
1750579290.7243133,11787,-6.330825328826904
1750579291.577687,11818,-6.20440673828125
1750579291.630408,11820,-7.386519432067871
1750579291.7640054,11824,-7.047717094421387
1750579292.4208112,11845,-6.2273054122924805
1750579292.4743218,11848,-6.612741470336914
1750579292.580921,11852,-6.540066719055176
1750579292.9838598,11868,-6.482271194458008
1750579293.2322438,11877,-5.404279708862305
1750579293.3942447,11883,-7.241300106048584
1750579295.3012455,11956,-6.408973217010498
1750579295.7545211,11973,-6.664614677429199
1750579297.3076742,12028,-6.401744365692139
1750579298.7365534,12077,-7.11021089553833
1750579300.429625,12136,-6.50174617767334
1750579301.439496,12176,-6.308321952819824
1750579301.5227015,12180,-7.103021621704102
1750579302.32661,12211,-6.735041618347168
1750579303.0032945,12236,-6.52470064163208
1750579304.0014343,12272,-5.43223237991333
1750579304.8935454,12303,-6.480189323425293
1750579304.9384642,12305,-6.116275310516357
1750579305.2388108,12317,-5.3691840171813965
1750579306.2156544,12355,-6.449721336364746
1750579306.5125444,12367,-5.646012306213379
1750579307.278877,12395,-5.432405471801758
1750579307.3936696,12399,-6.5726847648620605
1750579307.4499552,12401,-5.99428653717041
1750579308.0332093,12422,-5.782670974731445
1750579308.0544212,12423,-6.694604396820068
1750579308.4666424,12438,-6.02312707901001
1750579308.738284,12450,-9.748173713684082
1750579309.473074,12477,-5.890004634857178
